2016-10-07,423088
2016-10-08,471318
2016-10-09,415904
2016-10-10,325232
2016-10-11,340464
2016-10-12,324452
2016-10-13,404169
2016-10-14,440727
2016-10-15,464922
2016-10-16,403485
2016-10-17,342410
2016-10-18,359739
2016-10-19,390362
2016-10-20,416613
2016-10-21,487689
2016-10-22,511821
2016-10-23,415773
2016-10-24,354282
2016-10-25,393213
2016-10-26,414788
2016-10-27,494932
2016-10-28,494333
2016-10-29,529010
2016-10-30,471743
2016-10-31,374093
2016-11-01,387986
2016-11-02,388804
2016-11-03,434862
2016-11-04,459520
2016-11-05,482095
2016-11-06,395450
2016-11-07,372146
2016-11-08,365860
2016-11-09,415854
2016-11-10,418606
2016-11-11,456164
2016-11-12,491405
2016-11-13,419595
2016-11-14,356661
2016-11-15,418716
2016-11-16,388797
2016-11-17,416286
2016-11-18,443891
2016-11-19,486588
2016-11-20,452911
2016-11-21,412670
2016-11-22,431609
2016-11-23,431748
2016-11-24,369520
2016-11-25,345706
2016-11-26,389512
2016-11-27,374021
2016-11-28,372713
2016-11-29,463194
2016-11-30,453745
2016-12-01,452490
2016-12-02,500696
2016-12-03,534162
2016-12-04,457793
2016-12-05,409738
2016-12-06,466585
2016-12-07,444520
2016-12-08,484789
2016-12-09,543698
2016-12-10,572306
2016-12-11,479093
2016-12-12,420286
2016-12-13,426727
2016-12-14,461293
2016-12-15,556242
2016-12-16,580773
2016-12-17,553942
2016-12-18,465982
2016-12-19,430351
2016-12-20,432321
2016-12-21,432472
2016-12-22,432676
2016-12-23,419658
2016-12-24,390726
2016-12-25,310035
2016-12-26,285508
2016-12-27,318378
2016-12-28,351170
2016-12-29,392398
2016-12-30,426911
2016-12-31,477702
