,date,rides,max_temp,precip,snow
144,2016-05-24,334745,73,0.18,0.0
145,2016-05-25,344434,88,0.0,0.0
146,2016-05-26,358272,90,0.0,0.0
147,2016-05-27,366213,87,0.0,0.0
148,2016-05-28,353971,92,0.0,0.0
149,2016-05-29,315558,87,0.01,0.0
150,2016-05-30,274150,82,1.65,0.0
151,2016-05-31,317188,85,0.0,0.0
152,2016-06-01,336213,83,0.0,0.0
153,2016-06-02,365528,78,0.0,0.0
154,2016-06-03,394452,70,0.04,0.0
155,2016-06-04,396390,83,0.4,0.0
156,2016-06-05,341566,71,0.91,0.0
157,2016-06-06,331990,83,0.0,0.0
158,2016-06-07,354809,85,0.01,0.0
159,2016-06-08,396776,67,0.45,0.0
160,2016-06-09,382190,71,0.0,0.0
161,2016-06-10,395615,77,0.0,0.0
162,2016-06-11,396999,88,0.0,0.0
163,2016-06-12,336850,83,0.0,0.0
164,2016-06-13,310265,74,0.0,0.0
165,2016-06-14,337005,79,0.0,0.0
166,2016-06-15,358610,85,0.0,0.0
167,2016-06-16,384562,74,0.22,0.0
168,2016-06-17,391588,78,0.0,0.0
169,2016-06-18,386379,87,0.0,0.0
170,2016-06-19,337114,88,0.0,0.0
171,2016-06-20,319973,84,0.0,0.0
172,2016-06-21,343723,87,0.01,0.0
173,2016-06-22,360642,86,0.0,0.0
174,2016-06-23,380170,83,0.0,0.0
175,2016-06-24,397252,84,0.0,0.0
176,2016-06-25,402625,86,0.0,0.0
177,2016-06-26,349019,87,0.0,0.0
178,2016-06-27,343179,83,0.45,0.0
179,2016-06-28,345267,76,0.12,0.0
180,2016-06-29,344952,83,0.01,0.0
181,2016-06-30,348553,85,0.0,0.0
182,2016-07-01,376207,79,0.83,0.0
183,2016-07-02,326386,76,0.0,0.0
184,2016-07-03,303506,78,0.0,0.0
185,2016-07-04,265133,84,0.49,0.0
186,2016-07-05,308347,86,0.66,0.0
187,2016-07-06,320082,91,0.0,0.0
188,2016-07-07,350879,89,0.04,0.0
189,2016-07-08,376455,86,0.08,0.0
190,2016-07-09,374675,72,0.53,0.0
191,2016-07-10,327276,80,0.01,0.0
192,2016-07-11,309193,81,0.0,0.0
193,2016-07-12,329957,82,0.0,0.0
194,2016-07-13,363784,85,0.0,0.0
195,2016-07-14,381844,88,0.62,0.0
196,2016-07-15,400760,88,0.0,0.0
197,2016-07-16,398331,90,0.01,0.0
198,2016-07-17,348867,89,0.0,0.0
199,2016-07-18,342680,93,0.35,0.0
200,2016-07-19,340079,83,0.0,0.0
201,2016-07-20,354964,85,0.0,0.0
202,2016-07-21,377089,90,0.0,0.0
203,2016-07-22,414036,94,0.0,0.0
204,2016-07-23,412441,96,0.0,0.0
205,2016-07-24,354567,94,0.0,0.0
206,2016-07-25,359247,93,1.0,0.0
207,2016-07-26,353534,89,0.0,0.0
208,2016-07-27,364033,91,0.0,0.0
209,2016-07-28,384424,95,0.01,0.0
210,2016-07-29,418171,85,1.09,0.0
211,2016-07-30,425628,84,0.25,0.0
212,2016-07-31,355318,78,1.08,0.0
213,2016-08-01,325627,80,0.01,0.0
214,2016-08-02,336761,79,0.0,0.0
215,2016-08-03,347141,80,0.0,0.0
216,2016-08-04,364408,81,0.0,0.0
217,2016-08-05,387117,83,0.0,0.0
218,2016-08-06,390158,87,0.05,0.0
219,2016-08-07,341906,86,0.0,0.0
220,2016-08-08,313093,86,0.0,0.0
221,2016-08-09,338092,87,0.0,0.0
222,2016-08-10,360027,86,0.09,0.0
223,2016-08-11,393203,91,0.15,0.0
224,2016-08-12,423132,93,0.32,0.0
225,2016-08-13,426756,96,0.0,0.0
226,2016-08-14,365238,94,0.06,0.0
227,2016-08-15,337098,92,0.0,0.0
228,2016-08-16,360143,87,0.11,0.0
229,2016-08-17,363077,85,0.01,0.0
230,2016-08-18,376700,85,0.03,0.0
231,2016-08-19,401725,88,0.01,0.0
232,2016-08-20,398640,83,0.82,0.0
233,2016-08-21,366757,86,0.31,0.0
234,2016-08-22,318245,79,0.0,0.0
235,2016-08-23,333869,82,0.0,0.0
236,2016-08-24,350549,88,0.0,0.0
237,2016-08-25,373210,86,0.01,0.0
238,2016-08-26,401125,90,0.0,0.0
239,2016-08-27,411492,89,0.0,0.0
240,2016-08-28,369582,89,0.0,0.0
241,2016-08-29,331417,91,0.0,0.0
242,2016-08-30,339327,86,0.0,0.0
243,2016-08-31,360090,89,0.01,0.0
244,2016-09-01,382092,79,0.5,0.0
245,2016-09-02,382826,81,0.0,0.0
246,2016-09-03,380735,75,0.0,0.0
247,2016-09-04,359063,80,0.0,0.0
248,2016-09-05,306116,84,0.0,0.0
249,2016-09-06,355915,80,0.01,0.0
250,2016-09-07,370958,85,0.0,0.0
251,2016-09-08,407228,89,0.0,0.0
252,2016-09-09,452249,91,0.22,0.0
253,2016-09-10,474635,90,0.01,0.0
254,2016-09-11,393872,83,0.0,0.0
255,2016-09-12,346111,78,0.0,0.0
256,2016-09-13,366344,83,0.0,0.0
257,2016-09-14,390128,91,0.56,0.0
258,2016-09-15,403497,74,0.0,0.0
259,2016-09-16,439465,73,0.0,0.0
260,2016-09-17,453741,77,0.0,0.0
261,2016-09-18,397760,82,0.0,0.0
262,2016-09-19,346398,76,0.68,0.0
263,2016-09-20,357448,82,0.0,0.0
264,2016-09-21,359311,84,0.0,0.0
265,2016-09-22,387441,86,0.0,0.0
266,2016-09-23,426816,87,0.01,0.0
267,2016-09-24,463454,71,0.2,0.0
268,2016-09-25,391841,70,0.0,0.0
269,2016-09-26,344150,74,0.0,0.0
270,2016-09-27,369338,74,0.22,0.0
271,2016-09-28,391905,69,0.0,0.0
272,2016-09-29,411788,64,0.0,0.0
273,2016-09-30,476802,59,0.4,0.0
274,2016-10-01,437328,62,0.0,0.0
275,2016-10-02,382206,63,0.0,0.0
276,2016-10-03,314134,72,0.0,0.0
277,2016-10-04,335843,69,0.0,0.0
278,2016-10-05,376877,67,0.0,0.0
279,2016-10-06,408641,73,0.0,0.0
280,2016-10-07,423088,75,0.0,0.0
281,2016-10-08,471318,68,0.23,0.0
282,2016-10-09,415904,65,0.55,0.0
283,2016-10-10,325232,64,0.0,0.0
284,2016-10-11,340464,63,0.0,0.0
285,2016-10-12,324452,66,0.0,0.0
286,2016-10-13,404169,67,0.01,0.0
287,2016-10-14,440727,62,0.0,0.0
288,2016-10-15,464922,65,0.0,0.0
289,2016-10-16,403485,69,0.0,0.0
290,2016-10-17,342410,81,0.0,0.0
291,2016-10-18,359739,81,0.0,0.0
292,2016-10-19,390362,85,0.0,0.0
293,2016-10-20,416613,70,0.0,0.0
294,2016-10-21,487689,69,1.11,0.0
295,2016-10-22,511821,57,0.29,0.0
296,2016-10-23,415773,61,0.0,0.0
297,2016-10-24,354282,62,0.01,0.0
298,2016-10-25,393213,52,0.0,0.0
299,2016-10-26,414788,51,0.0,0.0
300,2016-10-27,494932,55,1.41,0.0
301,2016-10-28,494333,51,0.0,0.0
302,2016-10-29,529010,64,0.0,0.0
303,2016-10-30,471743,76,0.56,0.0
304,2016-10-31,374093,54,0.0,0.0
305,2016-11-01,387986,58,0.0,0.0
